Dependency	Source	Used by	Path to learning signal	v3 relevance	Active?
layout.limiter_p0 (ring/standby) as Δv_shot baseline	Layout 생성 (make_train_env; v2 ring_center=(50,0,0); v3 FULL 은 apply_standby 가 재기입 spawn_rand.py:294)	env.py:281/275 vbase → :289 delta_headline	delta_headline → J (env.py:364) → env_sys dense_scale 재작성 → buffer.rewards → compute_gae → adv → 양 actor pg loss	standby 활성 시 기준점 = 에피소드별 랜덤 standby 자세 (ring 의존 소멸); V3-C/CS(standby=None)에서는 ring@50 이 기준점으로 잔존	ACTIVE (매 스텝 gradient 도달)
layout.limiter_p0 as COMA counterfactual	동일	env.py:272-288 coma_D → adapter → train_mappo shift-back → buf.coma_D	mappo.update: cfg.coma_mix>0 일 때만 advD 혼합 (mappo.py:380-393). l2_mappo.yaml 에 coma_mix 없음 → 기본 0.0	standby 가 cf 도 재기입 (동일 sync). docs/60 §4.2 의 "COMA cf 의존 감사" 는 코드상 이미 동기화됨 — 단 cf 가 에피소드별 이동	DORMANT_BY_CONFIG (계산·로그만, gradient 미도달; l2_coma*.yaml 2D 레거시 라인에서만 ACTIVE)
ring_center/ring_radius (params train.layout.*)	params.py:197-200; SCALE_V2_CFG overlay	limiter 초기 위치(hold layout) + 위 두 경로	limiter_p0 경유 (위 두 행)	v3 FULL 에서 standby 로 대체; V3-C/CS 는 ring@50 유지	ACTIVE (standby off 팔 한정)
PARK_POSITION (0,0,60)	env_sys.py:79	retire 시 backend teleport (env_sys.py:358-365)	관측 9D 블록 → RunningNorm(train_mappo.py:159, 누적 무망각) → 모든 actor/critic 입력	근거 ① (v_shot 기여 0) 은 v2/v3 기하에서도 성립 (공격자 z 최대 ~23, 거리 >37 m). 근거 ② (정규화 생존 "ring 12배") 는 legacy 회랑 기준 — v2/v3 좌표 ~300 에서 서사 재검토 필요 (docs/59 P51 재검토 등재 유지)	ACTIVE (소모 발생 시)
Δv_shot 순간성 (docs/52 §8.4)	env.py:240-289 (pre-move 상태의 0.3s 탈출집합)	dense J 1항	장기 setup 기동(현재 v_shot 을 낮추는 이동)에 스텝 단위 음의 보상; 장기 이득은 value/GAE 로만 회수	v3 에서 limiter 이동이 attacker 궤적도 바꾸지만(route) Δv_shot 은 그 채널을 즉시 반영 안 함 (사후 상태 경유만)	ACTIVE
lambda1 clean_crossed 보너스	env.py:292/364, l1=1.0	dense J	clean = threshold(0.9) ∧ ¬boxed	theta_fire 0.9 은 legacy cone 보정값 — v3 재보정 여부는 SENSITIVITY	ACTIVE
lambda2 wasted_fire 벌점	FSM miss 해소 (finisher_fsm.py:107) → wasted_inc (env.py:321)	dense J	miss 1회당 −1.0. R2(miss_terminates=False)에서도 이 dense 벌점은 그대로 1회 부과	R2 on 이어도 net miss 가 무벌점 아님 (dense 경유) — 해석 시 명시	ACTIVE
lambda3 limiter_loss (근접 재계수)	env.py:360-361 (매 스텝 pre-move 근접 수)	dense J (−0.5×count/스텝)	접촉 resolver OFF(legacy): 공격자가 kill_radius 안에 머무는 스텝마다 반복 벌점. R1 ON: contact kill→PARK 이후 계수 중단 (veto 시에는 잔존 → NK 구간 반복 벌점 가능)	R1 on/off 에 따라 의미가 다름 — 계약 플래그와 묶어 문서화	ACTIVE
c_lim 소모 벌점 (증분)	env_sys.py:379-385 (P3 수정: new_consumed 만)	M4 보상 재작성	소모 이벤트당 −0.1 1회. VETO 는 미소모 → 무벌점	contact resolver on 이면 접촉 소모도 동일 부과	ACTIVE (RewardSpec.enabled=True 시)
terminal NET_CAPTURE +1.0	env_sys._outcome_label → RewardSpec.terminal	M4 보상	terminal_scale=1.0	—	ACTIVE
