Path/symbol	Type	References	Docs refs	Evidence role	Runtime status	Classification	Reason	Action
shepherd/scripts/threat_v3_gates.py	script	scale_v3_baseline 이 import; 테스트 없음	docs/60 §5.1 (P87~P91), docs/61 P94 — 게이트 ID 로 참조 (모듈명 미기재)	P87~P94 게이트 결과 (results/threat_v3_*.json) 생성기	현 체인 러너 (커밋 abc56db·f5c75b6)	LIVE	★ 에이전트 분류(weak) 교정: docs 가 게이트 ID 로만 참조해 grep 누락	유지
shepherd/scripts/scale_v2_baseline.py	script	tests/make_golden_p87.py 언급	docs/59 §3 (V4)	V4/V4-800 baseline (results/scale_v2_baseline*)	현 체인 러너	LIVE	동일 교정	유지
shepherd/scripts/scale_v3_baseline.py	script	threat_v3_gates import	docs/60 §5.2 (V6), 커밋 33165ed	V6 nested baseline (results/v6_*)	현 체인 러너	LIVE	동일 교정	유지
shepherd/scripts/dump_trajectory.py	script	0	HANDOFF 08-07, temp_research_note; 커밋 949ba7a·8ec8710	V7 뷰어 덤프 (artifact 0a31f6b9)	현 체인 (뷰어 육안 검사)	LIVE	viz-first 정책의 현행 도구	유지
shepherd/scripts/mission_rollout.py	module	25 importers + 11 test files	docs/26~54 다수	라벨·롤아웃 정본	핵심	LIVE	—	유지
shepherd/scripts/train_m4.py	script	tests 3종 + CK	docs/32~50	M4 학습 러너	legacy 계약 (Task 2 blocker)	LIVE	재배선 대상이지 dead 아님	유지
shepherd/scripts/train_mappo.py	script	tests	docs/09,48	2C 러너 + M4 부모 클래스	LIVE (상속 경유)	LIVE	—	유지
shepherd/scripts/train_ippo.py	script	5 importers(T)	docs/09*	2B 러너 + eval_bundle 등 공용 헬퍼	train_mappo 가 import	LIVE	—	유지
shepherd/scripts/train_m3a.py	script	11 importers(T)	docs/09,48	M3a 러너 (notify 단일정의 소비)	tests 참조	LIVE	—	유지
shepherd/scripts/roles_split.py	script	tests(test_role_split)	docs/32*,48*,49*	2x2/BC 실행·집계기	LIVE	LIVE	—	유지
shepherd/scripts/fire_audit.py	script	tests(test_fire_audit)	docs/48*,49*	발사 진단 [A][B][C] 정본	LIVE	LIVE	—	유지
shepherd/scripts/sweep_m4.py	script	tests 3종 + CK	docs/32*,47*,48*	기저선·스윕 (hold_baseline.json)	LIVE (단 bare SystemSpec — legacy 계약)	LIVE	—	유지
shepherd/scripts/curve_sweep.py	script	tests + CK	docs/32*,47	포획 확률 곡선	LIVE	LIVE	wilson 이름 shadow 는 duplicate 후보	유지
shepherd/scripts/op_gate.py	script	CK	docs/40~47	운용점 게이트	LIVE	LIVE	—	유지
shepherd/scripts/channel_split.py	script	tests + CK	docs/32,46,47	채널 분리 감사	LIVE	LIVE	private import (duplicate 후보)	유지
shepherd/scripts/signal_audit.py	script	CK	docs/32,48,49,50	보상 기울기 부재 실측 (사슬 링크)	LIVE	LIVE	inline finisher (duplicate 후보)	유지
shepherd/scripts/slew_audit.py	script	CK	docs/32,45,47	slew 경계 감사	LIVE	LIVE	—	유지
shepherd/scripts/scale_smoke.py	script	tests + CK	docs/41,43	스케일 스모크	LIVE	LIVE	ring 모드 발산 주석 (duplicate 후보)	유지
shepherd/scripts/spawn_sweep.py	script	CK	docs/37,43	스폰 랜덤화 스윕	LIVE	LIVE	기본 limiter_mode="ring" (legacy 값) 주의	유지
shepherd/scripts/mobility_factorial.py	script	tests(test_mobility)	docs/51	이동성 2x2 (재현)	LIVE	LIVE	—	유지
shepherd/scripts/recoverability_probe.py	script	tests(test_recoverability_probe)	docs/56	2x2 recoverability (재현)	LIVE	LIVE	—	유지
shepherd/scripts/rollout_gif.py	script	tests(test_coma,test_make_env)	docs/06,08*,09*	GIF 렌더 루트 (lenient — 학습 금지 root)	LIVE (렌더 전용)	LIVE	★ n_segments=1·episode_len 70·_zero_commit 미사용 — M4 스택 재사용 금지 트랩 (§7)	유지+문서화
shepherd/scripts/boxed_arm_audit.py	script	contact_exact_audit 가 _kw import	docs/53*,54	boxed 3-arm 증거 (V2/C2R)	완료 감사	ARCHIVE_ONLY	docs/53-54 재현 명령	삭제 금지
shepherd/scripts/contact_exact_audit.py	script	0	docs/54 §3.2(A)	보간 규약 비교 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/pk_sweep_audit.py	script	0	docs/54 §3.2(B)	Pk sweep 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/handoff_audit.py	script	0	docs/54 V3b, 56	miss 7판 원천	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/coupling_gate.py	script	0	docs/58 §7 (P84)	P84 manipulation check 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/contact_reachability.py	script	4 (archive chain)	docs/52*	111/122 접촉 도달성 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/coverage_oracle.py	script	0	docs/52*	2a/2a-E 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/selective_snapshot_oracle.py	script	1	docs/52	2b witness 증거	완료 감사	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/witness_margin_audit.py	script	0	HANDOFF 08-06 (docs 미기재)	knife-edge margin 증거 (docs/52 §8.1c 수치 원천)	완료 감사	ARCHIVE_ONLY	docs 에 모듈명 없음 — 재현 추적성 주의 (§8 권고)	삭제 금지
shepherd/scripts/temporal_support.py	script	0	HANDOFF 08-06	§8.1e 시각별 재최적화 증거	완료 감사	ARCHIVE_ONLY	동일	삭제 금지
shepherd/scripts/oracle_capture.py	script	0	docs/43	oracle 상한 (legacy)	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/rho_v_band.py	script	0	docs/43	rho-v 대역 (legacy)	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a2_fire_mode_diagnosis.py	script	0	docs/09*,12*	A 캠페인 진단	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3b_fire_oracle.py	script	0	docs/09*	A3b oracle	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3c_recoverability_oracle.py	script	1(text)	docs/09*,16	A3c oracle	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3d_null_baseline.py	script	0	docs/09,18	A3d null 증거	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3d_v16_refine.py	script	0	docs/09	A3d refine	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3d_witness_freeze.py	script	0	docs/09	A3d freeze	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3e_harvest.py	script	0	docs/09	A3e harvest	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3e_hybrid_eval.py	script	0	docs/09	A3e eval	종료 라인	ARCHIVE_ONLY	—	삭제 금지
shepherd/scripts/a3e_nominal_probe.py	script	0	results 로그만	A3e probe	종료 라인	ARCHIVE_ONLY(약)	—	삭제 금지
shepherd/scripts/analyze_gate_a.py	script	0	docs/09,12,13	Gate A 분석	종료 라인	ARCHIVE_ONLY	—	삭제 금지
